Match ID,Map ID,Team 1 ID,Team 1,Team 2 ID,Team 2,Event,Mode,Map,Map Number,Team 1 Score,Team 2 Score,Map Winner,Map VOD
ww2-anaheim-losers3-match-1,ww2-anaheim-losers3-match-1-map-3,14.0,Team Kaliber,25.0,compLexity Gaming,CWL Anaheim 2018,Capture The Flag,Flak Tower,3,3.0,2.0,Team Kaliber,
ww2-anaheim-losers3-match-1,ww2-anaheim-losers3-match-1-map-4,14.0,Team Kaliber,25.0,compLexity Gaming,CWL Anaheim 2018,Hardpoint,Sainte Marie du Mont,4,250.0,189.0,Team Kaliber,
ww2-anaheim-losers3-match-2,ww2-anaheim-losers3-match-2-map-1,16.0,Mindfreak,8.0,Ghost Gaming,CWL Anaheim 2018,Hardpoint,Ardennes Forest,1,250.0,113.0,Mindfreak,
ww2-anaheim-losers3-match-2,ww2-anaheim-losers3-match-2-map-2,16.0,Mindfreak,8.0,Ghost Gaming,CWL Anaheim 2018,Search and Destroy,London Docks,2,5.0,6.0,Ghost Gaming,
ww2-anaheim-losers3-match-2,ww2-anaheim-losers3-match-2-map-3,16.0,Mindfreak,8.0,Ghost Gaming,CWL Anaheim 2018,Capture The Flag,London Docks,3,3.0,2.0,Mindfreak,
ww2-anaheim-losers3-match-2,ww2-anaheim-losers3-match-2-map-4,16.0,Mindfreak,8.0,Ghost Gaming,CWL Anaheim 2018,Hardpoint,Valkyrie,4,250.0,168.0,Mindfreak,
ww2-anaheim-losers3-match-3,ww2-anaheim-losers3-match-3-map-1,5.0,eUnited,6.0,Evil Geniuses,CWL Anaheim 2018,Hardpoint,Gibraltar,1,197.0,250.0,Evil Geniuses,
ww2-anaheim-losers3-match-3,ww2-anaheim-losers3-match-3-map-2,5.0,eUnited,6.0,Evil Geniuses,CWL Anaheim 2018,Search and Destroy,Sainte Marie du Mont,2,6.0,4.0,eUnited,
ww2-anaheim-losers3-match-3,ww2-anaheim-losers3-match-3-map-3,5.0,eUnited,6.0,Evil Geniuses,CWL Anaheim 2018,Capture The Flag,Ardennes Forest,3,3.0,1.0,eUnited,
ww2-anaheim-losers3-match-3,ww2-anaheim-losers3-match-3-map-4,5.0,eUnited,6.0,Evil Geniuses,CWL Anaheim 2018,Hardpoint,Ardennes Forest,4,201.0,250.0,Evil Geniuses,
ww2-anaheim-losers3-match-3,ww2-anaheim-losers3-match-3-map-5,5.0,eUnited,6.0,Evil Geniuses,CWL Anaheim 2018,Search and Destroy,Valkyrie,5,6.0,5.0,eUnited,
ww2-anaheim-losers3-match-4,ww2-anaheim-losers3-match-4-map-1,12.0,Team Envy,35.0,Tainted Minds,CWL Anaheim 2018,Hardpoint,London Docks,1,207.0,250.0,Tainted Minds,
ww2-anaheim-losers3-match-4,ww2-anaheim-losers3-match-4-map-2,12.0,Team Envy,35.0,Tainted Minds,CWL Anaheim 2018,Search and Destroy,London Docks,2,2.0,6.0,Tainted Minds,
ww2-anaheim-losers3-match-4,ww2-anaheim-losers3-match-4-map-3,12.0,Team Envy,35.0,Tainted Minds,CWL Anaheim 2018,Capture The Flag,London Docks,3,2.0,3.0,Tainted Minds,
