Match ID,Map ID,Team 1 ID,Team 1,Team 2 ID,Team 2,Event,Mode,Map,Map Number,Team 1 Score,Team 2 Score,Map Winner,Map VOD
bo4-lasvegas-losers1-match-1,bo4-lasvegas-losers1-match-1-map-4,16,Mindfreak,79,FC Black,CWL Las Vegas 2019,Hardpoint,,4,,,Mindfreak,
bo4-lasvegas-losers1-match-2,bo4-lasvegas-losers1-match-2-map-1,32,Team Heretics,80,Revenge,CWL Las Vegas 2019,Hardpoint,Hacienda,1,250,115,Team Heretics,
bo4-lasvegas-losers1-match-2,bo4-lasvegas-losers1-match-2-map-2,32,Team Heretics,80,Revenge,CWL Las Vegas 2019,Search and Destroy,Hacienda,2,3,6,Revenge,
bo4-lasvegas-losers1-match-2,bo4-lasvegas-losers1-match-2-map-3,32,Team Heretics,80,Revenge,CWL Las Vegas 2019,Control,Frequency,3,3,2,Team Heretics,
bo4-lasvegas-losers1-match-2,bo4-lasvegas-losers1-match-2-map-4,32,Team Heretics,80,Revenge,CWL Las Vegas 2019,Hardpoint,Seaside,4,234,250,Revenge,
bo4-lasvegas-losers1-match-2,bo4-lasvegas-losers1-match-2-map-5,32,Team Heretics,80,Revenge,CWL Las Vegas 2019,Search and Destroy,Arsenal,5,6,4,Team Heretics,
bo4-lasvegas-losers1-match-3,bo4-lasvegas-losers1-match-3-map-1,76,G2 Esports,58,The Imperial,CWL Las Vegas 2019,Hardpoint,,1,,,G2 Esports,
bo4-lasvegas-losers1-match-3,bo4-lasvegas-losers1-match-3-map-2,76,G2 Esports,58,The Imperial,CWL Las Vegas 2019,Search and Destroy,,2,,,G2 Esports,
bo4-lasvegas-losers1-match-3,bo4-lasvegas-losers1-match-3-map-3,76,G2 Esports,58,The Imperial,CWL Las Vegas 2019,Control,,3,,,G2 Esports,
bo4-lasvegas-losers1-match-4,bo4-lasvegas-losers1-match-4-map-1,12,Team Envy,35,Tainted Minds,CWL Las Vegas 2019,Hardpoint,Hacienda,1,250,218,Team Envy,
bo4-lasvegas-losers1-match-4,bo4-lasvegas-losers1-match-4-map-2,12,Team Envy,35,Tainted Minds,CWL Las Vegas 2019,Search and Destroy,Gridlock,2,6,1,Team Envy,
bo4-lasvegas-losers1-match-4,bo4-lasvegas-losers1-match-4-map-3,12,Team Envy,35,Tainted Minds,CWL Las Vegas 2019,Control,Seaside,3,3,2,Team Envy,
bo4-lasvegas-winners1-match-1,bo4-lasvegas-winners1-match-1-map-1,7,Splyce,6,Evil Geniuses,CWL Las Vegas 2019,Hardpoint,Hacienda,1,250,195,Splyce,
bo4-lasvegas-winners1-match-1,bo4-lasvegas-winners1-match-1-map-2,7,Splyce,6,Evil Geniuses,CWL Las Vegas 2019,Search and Destroy,Hacienda,2,6,4,Splyce,
bo4-lasvegas-winners1-match-1,bo4-lasvegas-winners1-match-1-map-3,7,Splyce,6,Evil Geniuses,CWL Las Vegas 2019,Control,Arsenal,3,3,0,Splyce,
bo4-lasvegas-winners1-match-2,bo4-lasvegas-winners1-match-2-map-1,9,OpTic Gaming,1,Luminosity Gaming,CWL Las Vegas 2019,Hardpoint,Hacienda,1,250,205,OpTic Gaming,
bo4-lasvegas-winners1-match-2,bo4-lasvegas-winners1-match-2-map-2,9,OpTic Gaming,1,Luminosity Gaming,CWL Las Vegas 2019,Search and Destroy,Frequency,2,6,0,OpTic Gaming,
bo4-lasvegas-winners1-match-2,bo4-lasvegas-winners1-match-2-map-3,9,OpTic Gaming,1,Luminosity Gaming,CWL Las Vegas 2019,Control,Gridlock,3,3,2,OpTic Gaming,
bo4-lasvegas-winners1-match-3,bo4-lasvegas-winners1-match-3-map-1,5,eUnited,70,Str8 Rippin,CWL Las Vegas 2019,Hardpoint,,1,,,,
bo4-lasvegas-winners1-match-3,bo4-lasvegas-winners1-match-3-map-2,5,eUnited,70,Str8 Rippin,CWL Las Vegas 2019,Search and Destroy,,2,,,,
bo4-lasvegas-winners1-match-3,bo4-lasvegas-winners1-match-3-map-3,5,eUnited,70,Str8 Rippin,CWL Las Vegas 2019,Control,,3,,,,
bo4-lasvegas-winners1-match-3,bo4-lasvegas-winners1-match-3-map-4,5,eUnited,70,Str8 Rippin,CWL Las Vegas 2019,Hardpoint,,4,,,eUnited,
bo4-lasvegas-winners1-match-4,bo4-lasvegas-winners1-match-4-map-1,23,Lightning Pandas,52,Team Sween,CWL Las Vegas 2019,Hardpoint,,1,,,,
bo4-lasvegas-winners1-match-4,bo4-lasvegas-winners1-match-4-map-2,23,Lightning Pandas,52,Team Sween,CWL Las Vegas 2019,Search and Destroy,,2,,,,
bo4-lasvegas-winners1-match-4,bo4-lasvegas-winners1-match-4-map-3,23,Lightning Pandas,52,Team Sween,CWL Las Vegas 2019,Control,,3,,,,
bo4-lasvegas-winners1-match-4,bo4-lasvegas-winners1-match-4-map-4,23,Lightning Pandas,52,Team Sween,CWL Las Vegas 2019,Hardpoint,,4,,,,
bo4-lasvegas-winners1-match-4,bo4-lasvegas-winners1-match-4-map-5,23,Lightning Pandas,52,Team Sween,CWL Las Vegas 2019,Search and Destroy,,5,,,Team Sween,
bo4-lasvegas-losers2-match-1,bo4-lasvegas-losers2-match-1-map-1,78,Excelerate Gaming,12,Team Envy,CWL Las Vegas 2019,Hardpoint,Gridlock,1,162,250,Team Envy,
bo4-lasvegas-losers2-match-1,bo4-lasvegas-losers2-match-1-map-2,78,Excelerate Gaming,12,Team Envy,CWL Las Vegas 2019,Search and Destroy,Gridlock,2,1,6,Team Envy,
bo4-lasvegas-losers2-match-1,bo4-lasvegas-losers2-match-1-map-3,78,Excelerate Gaming,12,Team Envy,CWL Las Vegas 2019,Control,Gridlock,3,1,3,Team Envy,
bo4-lasvegas-losers2-match-2,bo4-lasvegas-losers2-match-2-map-1,75,Team Reciprocity,32,Team Heretics,CWL Las Vegas 2019,Hardpoint,,1,,,,
bo4-lasvegas-losers2-match-2,bo4-lasvegas-losers2-match-2-map-2,75,Team Reciprocity,32,Team Heretics,CWL Las Vegas 2019,Search and Destroy,,2,,,,
bo4-lasvegas-losers2-match-2,bo4-lasvegas-losers2-match-2-map-3,75,Team Reciprocity,32,Team Heretics,CWL Las Vegas 2019,Control,,3,,,,
bo4-lasvegas-losers2-match-2,bo4-lasvegas-losers2-match-2-map-4,75,Team Reciprocity,32,Team Heretics,CWL Las Vegas 2019,Hardpoint,,4,,,Team Reciprocity,
bo4-lasvegas-losers2-match-3,bo4-lasvegas-losers2-match-3-map-1,77,Mazer Gaming,76,G2 Esports,CWL Las Vegas 2019,Hardpoint,,1,,,G2 Esports,
bo4-lasvegas-losers2-match-3,bo4-lasvegas-losers2-match-3-map-2,77,Mazer Gaming,76,G2 Esports,CWL Las Vegas 2019,Search and Destroy,,2,,,G2 Esports,
bo4-lasvegas-losers2-match-3,bo4-lasvegas-losers2-match-3-map-3,77,Mazer Gaming,76,G2 Esports,CWL Las Vegas 2019,Control,,3,,,G2 Esports,
bo4-lasvegas-losers2-match-4,bo4-lasvegas-losers2-match-4-map-1,13,Red Reserve,16,Mindfreak,CWL Las Vegas 2019,Hardpoint,,1,,,Red Reserve,
bo4-lasvegas-losers2-match-4,bo4-lasvegas-losers2-match-4-map-2,13,Red Reserve,16,Mindfreak,CWL Las Vegas 2019,Search and Destroy,,2,,,Red Reserve,
bo4-lasvegas-losers2-match-4,bo4-lasvegas-losers2-match-4-map-3,13,Red Reserve,16,Mindfreak,CWL Las Vegas 2019,Control,,3,,,Red Reserve,
bo4-lasvegas-losers3-match-1,bo4-lasvegas-losers3-match-1-map-1,71,UYU,12,Team Envy,CWL Las Vegas 2019,Hardpoint,,1,,,,
bo4-lasvegas-losers3-match-1,bo4-lasvegas-losers3-match-1-map-2,71,UYU,12,Team Envy,CWL Las Vegas 2019,Search and Destroy,,2,,,,
bo4-lasvegas-losers3-match-1,bo4-lasvegas-losers3-match-1-map-3,71,UYU,12,Team Envy,CWL Las Vegas 2019,Control,,3,,,,
bo4-lasvegas-losers3-match-1,bo4-lasvegas-losers3-match-1-map-4,71,UYU,12,Team Envy,CWL Las Vegas 2019,Hardpoint,,4,,,Team Envy,
bo4-lasvegas-losers3-match-2,bo4-lasvegas-losers3-match-2-map-1,20,FaZe Clan,75,Team Reciprocity,CWL Las Vegas 2019,Hardpoint,,1,,,,
bo4-lasvegas-losers3-match-2,bo4-lasvegas-losers3-match-2-map-2,20,FaZe Clan,75,Team Reciprocity,CWL Las Vegas 2019,Search and Destroy,,2,,,,
bo4-lasvegas-losers3-match-2,bo4-lasvegas-losers3-match-2-map-3,20,FaZe Clan,75,Team Reciprocity,CWL Las Vegas 2019,Control,,3,,,,
bo4-lasvegas-losers3-match-2,bo4-lasvegas-losers3-match-2-map-4,20,FaZe Clan,75,Team Reciprocity,CWL Las Vegas 2019,Hardpoint,,4,,,,
bo4-lasvegas-losers3-match-2,bo4-lasvegas-losers3-match-2-map-5,20,FaZe Clan,75,Team Reciprocity,CWL Las Vegas 2019,Search and Destroy,,5,,,Team Reciprocity,
bo4-lasvegas-losers3-match-3,bo4-lasvegas-losers3-match-3-map-1,74,100 Thieves,76,G2 Esports,CWL Las Vegas 2019,Hardpoint,,1,,,100 Thieves,
bo4-lasvegas-losers3-match-3,bo4-lasvegas-losers3-match-3-map-2,74,100 Thieves,76,G2 Esports,CWL Las Vegas 2019,Search and Destroy,,2,,,100 Thieves,
bo4-lasvegas-losers3-match-3,bo4-lasvegas-losers3-match-3-map-3,74,100 Thieves,76,G2 Esports,CWL Las Vegas 2019,Control,,3,,,100 Thieves,
bo4-lasvegas-losers3-match-4,bo4-lasvegas-losers3-match-4-map-1,72,Pittsburgh Knights,13,Red Reserve,CWL Las Vegas 2019,Hardpoint,,1,,,,
bo4-lasvegas-losers3-match-4,bo4-lasvegas-losers3-match-4-map-2,72,Pittsburgh Knights,13,Red Reserve,CWL Las Vegas 2019,Search and Destroy,,2,,,,
bo4-lasvegas-losers3-match-4,bo4-lasvegas-losers3-match-4-map-3,72,Pittsburgh Knights,13,Red Reserve,CWL Las Vegas 2019,Control,,3,,,,
bo4-lasvegas-losers3-match-4,bo4-lasvegas-losers3-match-4-map-4,72,Pittsburgh Knights,13,Red Reserve,CWL Las Vegas 2019,Hardpoint,,4,,,Red Reserve,
bo4-lasvegas-losers4-match-1,bo4-lasvegas-losers4-match-1-map-1,12,Team Envy,23,Lightning Pandas,CWL Las Vegas 2019,Hardpoint,Gridlock,1,250,185,Team Envy,
bo4-lasvegas-losers4-match-1,bo4-lasvegas-losers4-match-1-map-2,12,Team Envy,23,Lightning Pandas,CWL Las Vegas 2019,Search and Destroy,Payload,2,4,6,Lightning Pandas,
bo4-lasvegas-losers4-match-1,bo4-lasvegas-losers4-match-1-map-3,12,Team Envy,23,Lightning Pandas,CWL Las Vegas 2019,Control,Gridlock,3,2,3,Lightning Pandas,
