Match ID,Map ID,Event,Team ID,Team,Opponent ID,Opponent,Mode,Map,Player ID,Player,Score,Kills,Deaths,K/D,Engagements,Difference,Damage,Map Result,Total Hill Time,P1 Time,P2 Time,P3 Time,P4 Time,P5 Time,First Bloods,First Deaths,Bombs Planted,Bombs Defused,Avg SnD Kills/Round,Avg SnD Dmg/Round,Tiers Captured,Offense Kills,Offense OBJ Kills,Defense Kills,Defense OBJ Kills,Avg Control Dmg/Round
cw-champs-losers2-match-1,cw-champs-losers2-match-1-map-1,CDL Champs 2021,117.0,OpTic Chicago,112.0,Toronto Ultra,Hardpoint,Checkmate,24,Scump,1625.0,21,26,0.81,47,-5,4149.0,Loss,43.0,0.0,18.0,8.0,17.0,0.0,,,,,,,,,,,,
cw-champs-losers2-match-1,cw-champs-losers2-match-1-map-1,CDL Champs 2021,117.0,OpTic Chicago,112.0,Toronto Ultra,Hardpoint,Checkmate,23,Envoy,2545.0,27,21,1.29,48,6,4941.0,Loss,83.0,8.0,54.0,0.0,20.0,1.0,,,,,,,,,,,,
cw-champs-losers2-match-1,cw-champs-losers2-match-1-map-1,CDL Champs 2021,117.0,OpTic Chicago,112.0,Toronto Ultra,Hardpoint,Checkmate,21,FORMAL,1965.0,24,26,0.92,50,-2,5163.0,Loss,29.0,0.0,0.0,17.0,8.0,4.0,,,,,,,,,,,,
cw-champs-losers2-match-1,cw-champs-losers2-match-1-map-2,CDL Champs 2021,112.0,Toronto Ultra,117.0,OpTic Chicago,Search and Destroy,Moscow,34,Bance,725.0,3,5,0.6,8,-2,567.0,Win,,,,,,,1.0,1.0,3.0,0.0,0.33,63.0,,,,,,
cw-champs-losers2-match-1,cw-champs-losers2-match-1-map-2,CDL Champs 2021,112.0,Toronto Ultra,117.0,OpTic Chicago,Search and Destroy,Moscow,33,Cammy,575.0,9,8,1.13,17,1,1869.0,Win,,,,,,,3.0,3.0,0.0,0.0,1.0,207.67,,,,,,
cw-champs-losers2-match-1,cw-champs-losers2-match-1-map-2,CDL Champs 2021,112.0,Toronto Ultra,117.0,OpTic Chicago,Search and Destroy,Moscow,50,Insight,575.0,8,6,1.33,14,2,1467.0,Win,,,,,,,0.0,1.0,0.0,0.0,0.89,163.0,,,,,,
cw-champs-losers2-match-1,cw-champs-losers2-match-1-map-2,CDL Champs 2021,112.0,Toronto Ultra,117.0,OpTic Chicago,Search and Destroy,Moscow,36,CleanX,900.0,8,4,2.0,12,4,1616.0,Win,,,,,,,0.0,0.0,1.0,1.0,0.89,179.56,,,,,,
cw-champs-losers2-match-1,cw-champs-losers2-match-1-map-2,CDL Champs 2021,117.0,OpTic Chicago,112.0,Toronto Ultra,Search and Destroy,Moscow,22,Dashy,865.0,7,6,1.17,13,1,1397.0,Loss,,,,,,,3.0,0.0,0.0,1.0,0.78,155.22,,,,,,
cw-champs-losers2-match-1,cw-champs-losers2-match-1-map-2,CDL Champs 2021,117.0,OpTic Chicago,112.0,Toronto Ultra,Search and Destroy,Moscow,24,Scump,675.0,8,7,1.14,15,1,1204.0,Loss,,,,,,,1.0,1.0,1.0,0.0,0.89,133.78,,,,,,
cw-champs-losers2-match-1,cw-champs-losers2-match-1-map-2,CDL Champs 2021,117.0,OpTic Chicago,112.0,Toronto Ultra,Search and Destroy,Moscow,23,Envoy,515.0,6,8,0.75,14,-2,1112.0,Loss,,,,,,,0.0,1.0,0.0,1.0,0.67,123.56,,,,,,
cw-champs-losers2-match-1,cw-champs-losers2-match-1-map-2,CDL Champs 2021,117.0,OpTic Chicago,112.0,Toronto Ultra,Search and Destroy,Moscow,21,FORMAL,215.0,2,7,0.29,9,-5,1131.0,Loss,,,,,,,1.0,2.0,0.0,0.0,0.22,125.67,,,,,,
cw-champs-losers2-match-1,cw-champs-losers2-match-1-map-3,CDL Champs 2021,112.0,Toronto Ultra,117.0,OpTic Chicago,Control,Raid,34,Bance,4925.0,26,26,1.0,52,0,5175.0,Loss,,,,,,,,,,,,,7.0,12.0,5.0,14.0,4.0,1035.0
cw-champs-losers2-match-1,cw-champs-losers2-match-1-map-3,CDL Champs 2021,112.0,Toronto Ultra,117.0,OpTic Chicago,Control,Raid,33,Cammy,3450.0,22,29,0.76,51,-7,5490.0,Loss,,,,,,,,,,,,,7.0,12.0,8.0,10.0,1.0,1098.0
cw-champs-losers2-match-1,cw-champs-losers2-match-1-map-3,CDL Champs 2021,112.0,Toronto Ultra,117.0,OpTic Chicago,Control,Raid,50,Insight,4690.0,26,23,1.13,49,3,4924.0,Loss,,,,,,,,,,,,,7.0,13.0,9.0,13.0,3.0,984.0
cw-champs-losers2-match-1,cw-champs-losers2-match-1-map-3,CDL Champs 2021,112.0,Toronto Ultra,117.0,OpTic Chicago,Control,Raid,36,CleanX,3250.0,28,31,0.9,59,-3,5465.0,Loss,,,,,,,,,,,,,5.0,10.0,2.0,18.0,5.0,1093.0
cw-champs-losers2-match-1,cw-champs-losers2-match-1-map-3,CDL Champs 2021,117.0,OpTic Chicago,112.0,Toronto Ultra,Control,Raid,22,Dashy,4775.0,31,22,1.41,53,9,5811.0,Win,,,,,,,,,,,,,4.0,11.0,2.0,20.0,12.0,1162.2
cw-champs-losers2-match-1,cw-champs-losers2-match-1-map-3,CDL Champs 2021,117.0,OpTic Chicago,112.0,Toronto Ultra,Control,Raid,24,Scump,2175.0,23,29,0.79,52,-6,4872.0,Win,,,,,,,,,,,,,3.0,7.0,0.0,16.0,7.0,974.4
