Match ID,Season Match Number,Team 1 ID,Team 1,Team 2 ID,Team 2,Event,Date,Team 1 Score,Team 2 Score,Winner,Match VOD
cw-s2w2-groupplay-match-1,57,113.0,Paris Legion,105.0,Dallas Empire,Stage 2 Week 2,3/25/21,1,3,Dallas Empire,https://youtu.be/WqtSLqvQcyY?t=1
cw-s2w2-groupplay-match-2,58,109.0,Minnesota RØKKR,117.0,OpTic Chicago,Stage 2 Week 2,3/25/21,3,0,Minnesota RØKKR,https://youtu.be/k2CLweEppuE?t=1
cw-s2w2-groupplay-match-3,59,111.0,London Royal Ravens,116.0,Los Angeles Thieves,Stage 2 Week 2,3/26/21,3,1,London Royal Ravens,https://youtu.be/_mEV-lOAgdU?t=1
cw-s2w2-groupplay-match-4,60,108.0,Los Angeles Guerrillas,110.0,New York Subliners,Stage 2 Week 2,3/26/21,1,3,New York Subliners,https://youtu.be/3pZyhFxZBA8?t=1
cw-s2w2-groupplay-match-5,61,111.0,London Royal Ravens,110.0,New York Subliners,Stage 2 Week 2,3/27/21,1,3,New York Subliners,https://youtu.be/ksUrn5L7twM?t=1
cw-s2w2-groupplay-match-6,62,116.0,Los Angeles Thieves,115.0,Atlanta FaZe,Stage 2 Week 2,3/27/21,0,3,Atlanta FaZe,https://youtu.be/joK6e0ez_CE?t=1
cw-s2w2-groupplay-match-7,63,108.0,Los Angeles Guerrillas,112.0,Toronto Ultra,Stage 2 Week 2,3/27/21,2,3,Toronto Ultra,https://youtu.be/aOICTF3SK1E?t=1
cw-s2w2-groupplay-match-8,64,106.0,Seattle Surge,113.0,Paris Legion,Stage 2 Week 2,3/28/21,3,0,Seattle Surge,https://youtu.be/F1_GEZj-U4E?t=1
cw-s2w2-groupplay-match-9,65,109.0,Minnesota RØKKR,105.0,Dallas Empire,Stage 2 Week 2,3/28/21,3,2,Minnesota RØKKR,https://youtu.be/krbOYhcjVZU?t=1
cw-s2w2-groupplay-match-10,66,107.0,Florida Mutineers,117.0,OpTic Chicago,Stage 2 Week 2,3/28/21,3,0,Florida Mutineers,https://youtu.be/Kpbx-1j3OAg?t=1
